start,end,length
241,1095,53.672999999999995
1095,241,53.672999999999995
242,241,97.32
242,1095,113.154
1095,242,113.154
242,1747,83.96799999999999
1747,242,83.96799999999999
243,244,84.29799999999999
244,243,84.29799999999999
243,504,51.422
504,243,51.422
243,503,134.519
503,243,134.519
244,3036,159.621
245,1805,79.13
246,335,85.013
247,248,275.481
248,1806,79.709
249,54778,278.75
249,50297,78.07300000000001
250,1716,79.09200000000001
250,251,274.1
251,740,78.17299999999999
251,252,265.426
252,50572,19.144
252,1717,83.059
253,46074,192.345
46074,253,192.345
253,53284,85.367
53284,253,85.367
253,2495,78.432
2495,253,78.432
254,46002,7.999
46002,254,7.999
254,255,30.322
254,505,176.286
505,254,176.286
255,46013,23.33
256,46013,77.385
46013,256,77.385
256,257,78.327
257,256,78.327
257,836,243.482
257,258,78.92599999999999
258,257,78.92599999999999
258,508,228.41599999999997
258,259,85.358
259,258,85.358
259,1022,121.148
1022,259,121.148
259,1023,117.395
1023,259,117.395
259,260,209.96699999999998
260,259,209.96699999999998
260,1741,118.926
1741,260,118.926
260,2504,121.86699999999999
2504,260,121.86699999999999
260,261,176.294
261,260,176.294
261,1742,118.97900000000001
1742,261,118.97900000000001
261,262,176.672
262,261,176.672
261,2623,122.114
2623,261,122.114
262,263,131.061
263,262,131.061
262,848,118.851
848,262,118.851
262,849,122.11399999999999
849,262,122.11399999999999
263,3097,90.445
3097,263,90.445
263,264,129.415
264,263,129.415
263,1743,118.76199999999999
1743,263,118.76199999999999
264,2531,27.281
2531,264,27.281
264,3097,156.828
3097,264,156.828
265,266,78.598
266,265,78.598
265,1929,88.29100000000001
1929,265,88.29100000000001
266,50059,49.231
266,267,79.328
267,266,79.328
267,268,80.699
268,267,80.699
268,1061,83.189
268,269,151.703
269,268,151.703
269,1930,52.391
269,50341,12.056
50341,269,12.056
271,45752,18.594
45752,271,18.594
271,13282,286.1449999999999
13282,271,286.1449999999999
271,521,167.53099999999998
272,1730,235.494
272,45740,75.553
273,272,106.743
273,1729,99.025
1729,273,99.025
274,273,87.905
275,920,218.99099999999999
275,1699,78.393
276,1538,217.17600000000002
276,277,79.292
277,276,79.292
277,278,81.139
278,277,81.139
277,2890,70.685
278,636,214.65299999999996
278,50568,54.182
278,279,78.10399999999998
279,278,78.10399999999998
279,280,79.91
280,279,79.91
280,281,79.70500000000001
281,280,79.70500000000001
281,2699,215.36999999999998
281,282,79.00699999999999
282,281,79.00699999999999
282,1693,214.34300000000002
282,283,79.55999999999999
283,282,79.55999999999999
283,45996,132.267
45996,283,132.267
283,284,79.039
284,283,79.039
284,3096,215.52200000000002
284,285,79.30799999999999
285,284,79.30799999999999
285,55274,62.989
55274,285,62.989
285,286,81.148
286,285,81.148
286,2455,215.974
286,50065,68.155
50065,286,68.155
286,287,85.992
287,286,85.992
287,1531,216.717
1531,287,216.717
287,288,86.653
288,287,86.653
288,44173,178.94299999999998
44173,288,178.94299999999998
288,1824,214.73
288,289,80.064
289,288,80.064
289,42557,216.82299999999998
42557,289,216.82299999999998
289,290,81.01
290,289,81.01
290,43886,225.924
43886,290,225.924
290,654,216.271
290,291,81.148
291,290,81.148
291,52378,218.553
52378,291,218.553
291,292,80.799
292,291,80.799
292,50379,222.865
292,2611,214.97599999999997
292,293,80.12599999999999
293,292,80.12599999999999
293,294,86.85
294,293,86.85
294,295,86.38499999999999
295,294,86.38499999999999
294,3111,216.01
3111,294,216.01
294,2904,227.99900000000002
2904,294,227.99900000000002
295,1802,226.897
295,296,80.43699999999998
296,295,80.43699999999998
296,2954,216.87199999999999
296,297,80.58
297,296,80.58
297,1895,226.9
297,298,80.30000000000001
298,297,80.30000000000001
298,2730,216.936
299,1353,226.68300000000002
299,300,80.119
300,299,80.119
300,3112,216.96
300,301,87.28999999999999
301,300,87.28999999999999
301,302,85.101
302,301,85.101
301,529,225.911
529,301,225.911
301,528,217.18599999999998
528,301,217.18599999999998
302,3034,216.767
302,303,79.563
303,302,79.563
303,2528,223.911
303,304,81.927
304,303,81.927
304,1545,216.006
304,305,77.93699999999998
305,304,77.93699999999998
305,306,83.92699999999999
306,305,83.92699999999999
305,1546,296.14
306,3113,215.839
306,52458,68.485
52458,306,68.485
307,49675,27.585
307,1132,34.038
308,1832,77.30600000000001
309,308,271.69399999999996
309,2157,87.105
310,45020,18.204
310,414,80.197
311,310,105.01100000000001
311,806,78.87599999999999
806,311,78.87599999999999
311,807,87.289
807,311,87.289
312,311,157.107
312,1834,80.12899999999999
1834,312,80.12899999999999
313,2210,79.30199999999999
2210,313,79.30199999999999
314,313,140.988
314,2373,88.66499999999999
2373,314,88.66499999999999
314,3070,79.11599999999999
3070,314,79.11599999999999
315,314,133.95700000000002
315,1084,79.487
1084,315,79.487
315,1085,88.306
1085,315,88.306
316,315,118.61200000000001
